CustomerID,Age,Gender,Tenure,MonthlyCharges,ContractType,InternetService,TotalCharges,TechSupport,Churn
1,47,Female,8,33.03,Month-to-Month,None,264.24,No,No
2,40,Male,19,75.32,Month-to-Month,Fiber Optic,1431.08,No,No
3,49,Female,39,47.85,Month-to-Month,None,1866.15,Yes,No
4,60,Male,3,70.93,Month-to-Month,Fiber Optic,212.79,No,Yes
5,39,Male,20,70.07,Two-Year,Fiber Optic,1401.4,No,No
6,39,Female,16,75.97,One-Year,Fiber Optic,1215.52,No,No
7,60,Male,3,72.99,Two-Year,Fiber Optic,218.97,No,No
8,51,Female,23,80.81,One-Year,Fiber Optic,1858.63,No,Yes
9,36,Female,7,71.22,Month-to-Month,DSL,498.54,Yes,No
10,48,Male,16,72.55,One-Year,Fiber Optic,1160.8,No,No
11,36,Male,2,67.38,Month-to-Month,Fiber Optic,134.76,No,Yes
12,36,Female,14,25.98,One-Year,None,363.72,No,No
13,44,Female,8,74.03,Month-to-Month,Fiber Optic,592.24,No,No
14,19,Male,41,85.73,Two-Year,Fiber Optic,3514.93,Yes,No
15,21,Male,1,51.94,Month-to-Month,DSL,51.94,No,Yes
16,35,Male,13,78.98,Month-to-Month,Fiber Optic,1026.74,No,Yes
17,29,Male,14,80.99,Two-Year,Fiber Optic,1133.86,Yes,Yes
18,45,Female,30,44.11,Month-to-Month,None,1323.3,Yes,Yes
19,31,Female,20,29.68,One-Year,None,593.6,No,No
20,25,Female,26,50.39,One-Year,DSL,1310.14,No,No
21,59,Female,36,25.07,Two-Year,None,902.52,No,No
22,39,Male,47,41.83,Two-Year,DSL,1966.01,No,No
23,42,Male,9,66.38,Two-Year,Fiber Optic,597.42,No,No
24,24,Female,18,87.6,Month-to-Month,Fiber Optic,1576.8,Yes,Yes
25,35,Female,43,60.68,Two-Year,DSL,2609.24,Yes,No
26,43,Female,72,87.48,One-Year,Fiber Optic,6298.56,Yes,Yes
27,28,Female,52,69.63,One-Year,DSL,3620.76,Yes,No
28,46,Female,11,71.16,Month-to-Month,DSL,782.76,Yes,Yes
29,34,Female,5,75.98,One-Year,Fiber Optic,379.9,No,No
30,38,Female,16,70.09,Two-Year,Fiber Optic,1121.44,No,No
31,34,Female,32,39.17,Two-Year,None,1253.44,Yes,No
32,64,Female,16,87.69,Month-to-Month,Fiber Optic,1403.04,Yes,Yes
33,41,Male,15,91.56,Month-to-Month,Fiber Optic,1373.4,Yes,No
34,29,Female,43,77.87,Month-to-Month,Fiber Optic,3348.41,No,No
35,51,Male,10,69.29,Two-Year,DSL,692.9,Yes,No
36,27,Male,47,72.16,One-Year,DSL,3391.52,Yes,No
37,44,Female,12,72.29,Month-to-Month,Fiber Optic,867.48,No,No
38,18,Female,9,74.49,Month-to-Month,Fiber Optic,670.41,No,Yes
39,26,Male,14,93.36,Month-to-Month,Fiber Optic,1307.04,Yes,No
40,44,Male,34,80.34,Month-to-Month,Fiber Optic,2731.56,No,No
41,50,Female,3,85.23,Two-Year,Fiber Optic,255.69,Yes,No
42,44,Male,5,51.95,One-Year,DSL,259.75,No,No
43,40,Female,72,48.73,Month-to-Month,DSL,3508.56,No,No
44,38,Female,4,40.01,Month-to-Month,None,160.04,Yes,Yes
45,24,Female,20,76.36,Month-to-Month,Fiber Optic,1527.2,No,Yes
46,33,Male,20,42.04,Two-Year,None,840.8,Yes,No
47,36,Male,16,64.51,Month-to-Month,DSL,1032.16,Yes,No
48,54,Female,24,45.22,Month-to-Month,None,1085.28,Yes,No
49,46,Male,6,58.16,Month-to-Month,DSL,348.96,No,Yes
50,20,Male,19,61.03,One-Year,DSL,1159.57,Yes,No
51,45,Male,11,48.0,One-Year,None,528.0,Yes,No
52,37,Male,26,64.71,One-Year,DSL,1682.46,Yes,No
53,33,Male,3,96.29,Month-to-Month,Fiber Optic,288.87,Yes,Yes
54,49,Male,20,52.33,Month-to-Month,DSL,1046.6,No,No
55,54,Male,4,84.87,Month-to-Month,Fiber Optic,339.48,Yes,No
56,53,Female,7,40.57,One-Year,None,283.99,Yes,No
57,31,Male,5,54.52,Month-to-Month,DSL,272.6,No,No
58,38,Male,4,69.4,One-Year,Fiber Optic,277.6,No,Yes
59,45,Male,41,48.53,Two-Year,DSL,1989.73,No,No
60,53,Male,8,69.0,Two-Year,Fiber Optic,552.0,No,No
61,36,Male,62,69.14,Month-to-Month,DSL,4286.68,Yes,No
62,39,Male,72,54.67,Month-to-Month,DSL,3936.24,No,No
63,28,Male,20,46.45,Month-to-Month,DSL,929.0,No,No
64,27,Male,3,68.36,One-Year,DSL,205.08,Yes,No
65,51,Female,11,26.6,Two-Year,None,292.6,No,No
66,58,Male,38,98.05,Month-to-Month,Fiber Optic,3725.9,Yes,Yes
67,41,Male,10,50.3,Month-to-Month,DSL,503.0,No,No
68,54,Male,2,59.36,Two-Year,Fiber Optic,118.72,No,Yes
69,46,Male,19,52.28,Two-Year,DSL,993.32,No,No
70,34,Female,44,76.73,Month-to-Month,Fiber Optic,3376.12,No,No
71,46,Female,38,23.71,One-Year,None,900.98,No,No
72,60,Female,4,82.35,Month-to-Month,Fiber Optic,329.4,Yes,Yes
73,41,Female,26,37.69,Month-to-Month,None,979.94,No,No
74,60,Female,5,87.36,Two-Year,Fiber Optic,436.8,Yes,No
75,18,Female,5,51.81,Two-Year,DSL,259.05,Yes,No
76,51,Female,49,69.07,One-Year,Fiber Optic,3384.43,No,No
77,43,Female,6,98.32,Month-to-Month,Fiber Optic,589.92,Yes,No
78,38,Female,7,78.86,Two-Year,Fiber Optic,552.02,Yes,No
79,43,Female,0,27.55,Month-to-Month,None,0.0,No,No
80,18,Female,49,73.59,Month-to-Month,Fiber Optic,3605.91,No,No
81,39,Female,37,39.4,Month-to-Month,None,1457.8,Yes,No
82,46,Female,23,81.48,Month-to-Month,Fiber Optic,1874.04,Yes,No
83,59,Female,33,90.5,One-Year,Fiber Optic,2986.5,Yes,No
84,35,Female,3,62.5,One-Year,Fiber Optic,187.5,No,Yes
85,32,Female,14,71.24,Month-to-Month,DSL,997.36,Yes,No
86,35,Male,10,34.43,Month-to-Month,None,344.3,No,No
